Run Name,zgg3mg3c
Trapz,0.8826619416845006,16
NN classification on test data,95.859375,16
max_Trapz,0.9241312577857275,16
epoch,15,16
NN test2train,84.453125,16
NN test2train 10th mean,79.896484375,16
Kmeans cluster score %,82.67578125,16
Accuracy for dev classification on test data %,83.53515625,16
F1 score on test data,0.8334926197519313,16
Dev class loss,0.09411783109976997,16
Dev class accuracy,96.9151483632041,16
Encoder loss,0.09418673141536281,16
learning rate,0.001,16
Positive clustering at error rate 0.1%,14.253729248666236,17
Positive clustering at error rate 1%,32.71850298922841,17
Positive clustering at error rate 10%,77.6852857417367,17
Trapz,0.9256219459632056,17
NN classification on test data,96.9921875,17
max_Trapz,0.9256219459632056,17
epoch,16,17
NN test2train,85.2734375,17
NN test2train 10th mean,81.595703125,17
Kmeans cluster score %,82.8125,17
Accuracy for dev classification on test data %,95.15625,17
F1 score on test data,0.9517944460752953,17
Dev class loss,0.09194705132090801,17
Dev class accuracy,96.98230042977323,17
Encoder loss,0.09201436248585733,17
learning rate,0.001,17
Positive clustering at error rate 0.1%,11.692048534342312,18
Positive clustering at error rate 1%,35.13399694136827,18
Positive clustering at error rate 10%,78.71407220237766,18
Trapz,0.9132225777950898,18
NN classification on test data,96.640625,18
max_Trapz,0.9256219459632056,18
epoch,17,18
NN test2train,84.19921875,18
NN test2train 10th mean,80.8359375,18
Kmeans cluster score %,82.421875,18
Accuracy for dev classification on test data %,91.6796875,18
F1 score on test data,0.9158601092885998,18
Dev class loss,0.08928711664932687,18
Dev class accuracy,97.0703125,18
Encoder loss,0.08935248057073936,18
learning rate,0.001,18
Positive clustering at error rate 0.1%,14.26408415664127,19
Positive clustering at error rate 1%,33.22351138470889,19
Positive clustering at error rate 10%,77.49081636693015,19
Trapz,0.920597796575262,19
NN classification on test data,96.4453125,19
max_Trapz,0.9256219459632056,19
epoch,18,19
NN test2train,84.86328125,19
NN test2train 10th mean,81.13671875,19
Kmeans cluster score %,90.546875,19
Accuracy for dev classification on test data %,95.64453125,19
F1 score on test data,0.9567520833581854,19
Dev class loss,0.08765664350055054,19
Dev class accuracy,97.10560305413314,19
Encoder loss,0.08772081381058015,19
learning rate,0.001,19
Positive clustering at error rate 0.1%,11.6351256956934,20
Positive clustering at error rate 1%,36.749939996276005,20
Positive clustering at error rate 10%,82.41573378365725,20
Trapz,0.9232708323903575,20
NN classification on test data,96.8359375,20
max_Trapz,0.9256219459632056,20
epoch,19,20
NN test2train,84.98046875,20
NN test2train 10th mean,82.146484375,20
Kmeans cluster score %,88.80859375,20
Accuracy for dev classification on test data %,95.15625,20
F1 score on test data,0.9510470103933439,20
Dev class loss,0.08474958185742258,20
Dev class accuracy,97.21776129297733,20
Encoder loss,0.08481162401105181,20
learning rate,0.001,20
Positive clustering at error rate 0.1%,13.248012494441491,21
Positive clustering at error rate 1%,31.593149748918126,21
Positive clustering at error rate 10%,74.95656229325061,21
Trapz,0.9108398081239651,21
NN classification on test data,96.54296875,21
max_Trapz,0.9256219459632056,21
epoch,20,21
NN test2train,84.27734375,21
NN test2train 10th mean,80.1015625,21
Kmeans cluster score %,83.3203125,21
Accuracy for dev classification on test data %,93.73046875,21
F1 score on test data,0.9369626167798129,21
Dev class loss,0.08361688246310697,21
Dev class accuracy,97.24490787307974,21
Encoder loss,0.08367809540780893,21
learning rate,0.001,21
Positive clustering at error rate 0.1%,10.325083649092456,22
Positive clustering at error rate 1%,32.506447451538925,22
Positive clustering at error rate 10%,74.05306883779693,22
Trapz,0.9047330190873195,22
NN classification on test data,96.71875,22
max_Trapz,0.9256219459632056,22
epoch,21,22
NN test2train,84.74609375,22
NN test2train 10th mean,80.3359375,22
Kmeans cluster score %,85.5078125,22
Accuracy for dev classification on test data %,93.203125,22
F1 score on test data,0.932257223422587,22
Dev class loss,0.08183029636791292,22
Dev class accuracy,97.29648637527433,22
Encoder loss,0.08189020141649864,22
learning rate,0.001,22
Positive clustering at error rate 0.1%,10.55613153278477,23
Positive clustering at error rate 1%,31.819862027935624,23
Positive clustering at error rate 10%,74.50086834035442,23
Trapz,0.9121833519338672,23
NN classification on test data,96.77734375,23
max_Trapz,0.9256219459632056,23
epoch,22,23
NN test2train,86.1328125,23
NN test2train 10th mean,81.75390625,23
Kmeans cluster score %,91.42578125,23
Accuracy for dev classification on test data %,94.43359375,23
F1 score on test data,0.9446454521683146,23
Dev class loss,0.07981907948643119,23
Dev class accuracy,97.3684962509144,23
Encoder loss,0.07987751219469359,23
learning rate,0.001,23
Positive clustering at error rate 0.1%,13.786660167357217,24
Positive clustering at error rate 1%,40.16947376972775,24
Positive clustering at error rate 10%,76.35363084777505,24
Trapz,0.9224623232090703,24
NN classification on test data,96.85546875,24
max_Trapz,0.9256219459632056,24
epoch,23,24
NN test2train,84.94140625,24
NN test2train 10th mean,81.33203125,24
Kmeans cluster score %,84.62890625,24
Accuracy for dev classification on test data %,96.3671875,24
F1 score on test data,0.9636721760920539,24
Dev class loss,0.07748096741205036,24
Dev class accuracy,97.44236352414045,24
Encoder loss,0.07753768847164921,24
learning rate,0.001,24
Positive clustering at error rate 0.1%,13.086467644354732,25
Positive clustering at error rate 1%,30.51752156842118,25
Positive clustering at error rate 10%,74.76234465422039,25
Trapz,0.9155161957154748,25
NN classification on test data,96.69921875,25
max_Trapz,0.9256219459632056,25
epoch,24,25
NN test2train,84.6484375,25
NN test2train 10th mean,80.9921875,25
Kmeans cluster score %,89.62890625,25
Accuracy for dev classification on test data %,93.96484375,25
F1 score on test data,0.9394020140924121,25
